,40,4770,energy,num_occurrences,chunk_id,chunk_size
0,-1,-1,-1.0,412,0,884
1,1,1,-1.0,472,0,884
2,-1,-1,-1.0,406,1,884
3,1,1,-1.0,478,1,884
4,-1,-1,-1.0,521,2,884
5,1,1,-1.0,363,2,884
6,1,1,-1.0,377,3,884
7,-1,-1,-1.0,507,3,884
8,1,1,-1.0,459,4,884
9,-1,-1,-1.0,425,4,884
10,-1,-1,-1.0,503,5,884
11,1,1,-1.0,381,5,884
12,1,1,-1.0,345,6,884
13,-1,-1,-1.0,539,6,884
14,1,1,-1.0,393,7,884
15,-1,-1,-1.0,491,7,884
16,-1,-1,-1.0,471,8,884
17,1,1,-1.0,413,8,884
18,1,1,-1.0,376,9,884
19,-1,-1,-1.0,508,9,884
20,-1,-1,-1.0,485,10,884
21,1,1,-1.0,399,10,884
22,-1,-1,-1.0,44,11,74
23,1,1,-1.0,30,11,74
